Date,Rate,BOP,GDP,GGDEBT,PPP,TERMTRADE,INTRATE,INFRATE,PPI
1999-07-22,1.0514,,,,,,,,
1999-07-23,1.0495,,,,,,,,
1999-07-26,1.065,,,,,,,,
1999-07-27,1.0621,,,,,,,,
1999-07-28,1.0665,,,,,,,,
1999-07-29,1.0724,,,,,,,,
1999-07-30,1.0697,,,,,,,,
1999-08-02,1.0693,,,,,,,,
1999-08-03,1.0682,,,,,,,,
1999-08-04,1.0772,,,,,,,,
1999-08-05,1.0754,,,,,,,,
1999-08-06,1.0745,,,,,,,,
1999-08-09,1.0715,,,,,,,,
1999-08-10,1.0707,,,,,,,,
1999-08-11,1.0652,,,,,,,,
1999-08-12,1.0668,,,,,,,,
1999-08-13,1.0568,,,,,,,,
1999-08-16,1.058,,,,,,,,
1999-08-17,1.0512,,,,,,,,
1999-08-18,1.0519,,,,,,,,
1999-08-19,1.0638,,,,,,,,
1999-08-20,1.0665,,,,,,,,
1999-08-23,1.0493,,,,,,,,
1999-08-24,1.0531,,,,,,,,
1999-08-25,1.0416,,,,,,,,
1999-08-26,1.0435,,,,,,,,
1999-08-27,1.0457,,,,,,,,
1999-08-30,1.0466,,,,,,,,
1999-08-31,1.0573,,,,,,,,
1999-09-01,1.0586,,,,,,,,
1999-09-02,1.0679,,,,,,,,
1999-09-03,1.0613,,,,,,,,
1999-09-07,1.0586,,,,,,,,
1999-09-08,1.0592,,,,,,,,
1999-09-09,1.0541,,,,,,,,
1999-09-10,1.0363,,,,,,,,
1999-09-13,1.0417,,,,,,,,
1999-09-14,1.0352,,,,,,,,
1999-09-15,1.0392,,,,,,,,
1999-09-16,1.0378,,,,,,,,
1999-09-17,1.0408,,,,,,,,
1999-09-20,1.0352,,,,,,,,
1999-09-21,1.0488,,,,,,,,
1999-09-22,1.0436,,,,,,,,
1999-09-23,1.0485,,,,,,,,
1999-09-24,1.0442,,,,,,,,
1999-09-27,1.0469,,,,,,,,
1999-09-28,1.053,,,,,,,,
1999-09-29,1.0644,,,,,,,,
1999-09-30,1.0695,,,,,,,,
1999-10-01,1.0724,,,,,,,,
1999-10-04,1.0737,,,,,,,,
1999-10-05,1.0734,,,,,,,,
1999-10-06,1.0689,,,,,,,,
1999-10-07,1.0714,,,,,,,,
1999-10-08,1.063,,,,,,,,
1999-10-11,1.0643,,,,,,,,
1999-10-12,1.0759,,,,,,,,
1999-10-13,1.0802,,,,,,,,
1999-10-14,1.0785,,,,,,,,
1999-10-15,1.0887,,,,,,,,
1999-10-18,1.083,,,,,,,,
1999-10-19,1.0832,,,,,,,,
1999-10-20,1.0739,,,,,,,,
1999-10-21,1.0806,,,,,,,,
1999-10-22,1.0684,,,,,,,,
1999-10-25,1.0667,,,,,,,,
1999-10-26,1.0587,,,,,,,,
1999-10-27,1.0505,,,,,,,,
1999-10-28,1.0512,,,,,,,,
1999-10-29,1.0541,,,,,,,,
1999-11-01,1.0503,,,,,,,,
1999-11-02,1.0518,,,,,,,,
1999-11-03,1.0484,,,,,,,,
1999-11-04,1.0372,,,,,,,,
1999-11-05,1.0419,,,,,,,,
1999-11-08,1.0384,,,,,,,,
1999-11-09,1.0402,,,,,,,,
1999-11-10,1.0442,,,,,,,,
1999-11-11,1.0412,,,,,,,,
1999-11-12,1.0315,,,,,,,,
1999-11-15,1.033,,,,,,,,
1999-11-16,1.0309,,,,,,,,
1999-11-17,1.0407,,,,,,,,
1999-11-18,1.0294,,,,,,,,
1999-11-19,1.0304,,,,,,,,
1999-11-22,1.0315,,,,,,,,
1999-11-23,1.0279,,,,,,,,
1999-11-24,1.0188,,,,,,,,
1999-11-26,1.0162,,,,,,,,
1999-11-29,1.0095,,,,,,,,
1999-11-30,1.0089,,,,,,,,
1999-12-01,1.0081,,,,,,,,
1999-12-02,1.0012,,,,,,,,
1999-12-03,1.002,,,,,,,,
1999-12-06,1.0224,,,,,,,,
1999-12-07,1.0255,,,,,,,,
1999-12-08,1.0276,,,,,,,,
1999-12-09,1.0206,,,,,,,,
1999-12-10,1.0125,,,,,,,,
1999-12-13,1.0138,,,,,,,,
1999-12-14,1.0055,,,,,,,,
1999-12-15,1.0063,,,,,,,,
1999-12-16,1.0162,,,,,,,,
1999-12-17,1.0086,,,,,,,,
1999-12-20,1.0137,,,,,,,,
1999-12-21,1.0098,,,,,,,,
1999-12-22,1.0087,,,,,,,,
1999-12-23,1.0153,,,,,,,,
1999-12-27,1.0121,,,,,,,,
1999-12-28,1.0066,,,,,,,,
